date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2021-04-02,68.31348319351673,-25.280144531279802,-34.884391874074936,6.5646,6.5637,6.5694,6.5578
2021-04-05,27.471204206347466,21.754808992147446,-37.72101306915283,6.5671,6.5671,6.5671,6.5671
2021-04-06,28.137568101286888,19.024261521175504,-33.327613830566406,6.537,6.5546,6.5602,6.5388
2021-04-07,62.78213384747505,-7.205384261906148,-44.23217797279358,6.5415,6.5398,6.5475,6.5358
2021-04-08,61.22720055282116,-7.772005409002302,-41.785939663648605,6.5505,6.5493,6.5531,6.5453
2021-04-09,43.74327343702316,7.873279321938753,-38.55578464269638,6.5522,6.5476,6.5627,6.5452
2021-04-12,67.49119266867638,-23.89404709637165,-35.843522399663925,6.5443,6.5584,6.5609,6.5427
2021-04-13,44.14224645495415,11.165136655792594,-40.19911816716194,6.5431,6.5462,6.5548,6.5415
2021-04-14,46.37219759821892,-4.690553020685911,-31.165232002735138,6.5292,6.5402,6.5438,6.5274
2021-04-15,61.6133876144886,-8.831032134592533,-41.42718106508255,6.522,6.5307,6.5428,6.5202
2021-04-16,56.89768300950527,-20.4508296251297,-31.23227360844612,6.5203,6.5304,6.5348,6.5169
2021-04-19,54.082628190517426,-9.061251923441887,-36.930165499448776,6.5085,6.5293,6.5317,6.5047
2021-04-20,32.348403975367546,18.232735481113195,-35.414754539728165,6.4981,6.5071,6.5097,6.4911
2021-04-21,53.06632738560438,-11.409341514110565,-33.08392161130905,6.4903,6.5015,6.5029,6.4883
2021-04-22,49.7000395655632,-6.617895968258383,-33.959836602211,6.491,6.4892,6.4958,6.4812
2021-04-23,34.55681635439396,-3.975171968340873,-22.475481003522873,6.4945,6.4926,6.5004,6.4893
2021-04-26,42.299494817852974,2.4628884345293045,-31.809184551239014,6.4844,6.4857,6.4934,6.4827
2021-04-27,44.720954440534115,-3.9931690674275147,-30.15366369485855,6.483,6.4865,6.4914,6.4792
2021-04-28,53.98075496405363,-11.39388945326209,-32.10688427090645,6.4771,6.4865,6.4911,6.4784
2021-04-29,64.74435555934906,-25.18789161927998,-33.8406708240509,6.471,6.4745,6.48,6.464
2021-04-30,66.48066329956055,-27.60530813038349,-32.57712638378143,6.473,6.4713,6.478,6.4633
2021-05-03,25.93667295575142,22.70661073923111,-30.141767919063568,6.4735,6.4735,6.4735,6.4735
2021-05-04,26.460546232759953,15.838456615805626,-30.954255044460297,6.4735,6.4735,6.4735,6.4735
2021-05-05,23.099591955542564,33.17430102452636,-37.88665995001793,6.4735,6.4735,6.4735,6.4735
2021-05-06,43.9961826056242,-5.089549481868746,-29.63757961988449,6.4598,6.4808,6.484,6.4623
2021-05-07,37.95116189867258,7.537421567365527,-35.451094299554825,6.431,6.4662,6.4668,6.4315
2021-05-10,43.347545117139816,-6.973125074058773,-28.796403855085373,6.4156,6.4337,6.4352,6.4085
2021-05-11,24.916156947612762,27.37756236642599,-34.04970917105675,6.4285,6.4274,6.4345,6.4193
2021-05-12,37.6032822355628,19.15084120258689,-38.25481650233269,6.4566,6.4296,6.4585,6.4276
2021-05-13,14.547419860959053,50.685330882668495,-44.46007177233696,6.4506,6.4545,6.4594,6.4472
2021-05-14,27.91373434662819,17.791372690349817,-31.506688833236694,6.4367,6.4476,6.4508,6.4292
2021-05-17,24.0643914192915,20.226208969950676,-30.465117067098618,6.4388,6.4419,6.4457,6.4344
2021-05-18,40.39903646707535,0.6095758229494104,-30.30911159515381,6.425,6.4338,6.4356,6.4177
2021-05-19,-5.713671252131461,49.36389367096126,-27.485476672649384,6.4342,6.4246,6.4412,6.4222
2021-05-20,2.620864242315292,53.62234431691468,-38.240781396627426,6.4339,6.435,6.4442,6.4308
2021-05-21,33.72274728119373,3.7956113517284407,-29.199460089206696,6.4339,6.4335,6.4381,6.4272
2021-05-24,47.02314834296703,-8.11499336361885,-31.065569281578064,6.4177,6.4387,6.4405,6.4163
2021-05-25,54.94381804764271,-3.7105900603346527,-38.08837316930294,6.41,6.4111,6.4159,6.4011
2021-05-26,41.39071527123451,3.7169973799027525,-35.751764357089996,6.3905,6.411,6.4111,6.3863
2021-05-27,16.191481441259388,40.94025118649006,-36.16628962755203,6.3824,6.3946,6.3979,6.3731
2021-05-28,45.22693485021591,8.210993099957705,-40.617396265268326,6.3674,6.383,6.3854,6.3612
2021-05-31,49.350412636995316,-18.3336461186409,-22.860594481229782,6.3688,6.369,6.3757,6.3568
2021-06-01,68.67980095744133,-25.404241800308228,-35.98118358850479,6.3796,6.3676,6.3858,6.3611
2021-06-02,45.53517831861973,4.684832978993654,-35.389795154333115,6.3805,6.378,6.392,6.376
2021-06-03,55.104800686240196,-13.372913137078285,-33.79256924986839,6.4036,6.3811,6.4056,6.3797
2021-06-04,26.979484900832176,26.311286121606827,-35.79050362110138,6.3945,6.4047,6.4135,6.3932
2021-06-07,30.71455943584442,5.0998290553689,-26.474765986204147,6.3963,6.396,6.4038,6.3925
2021-06-08,28.675276711583138,17.18347656726837,-33.289735198020935,6.4,6.3915,6.4025,6.3885
2021-06-09,68.50167937576771,-9.946082919836044,-46.65295359492302,6.3865,6.3986,6.3994,6.3818
2021-06-10,41.91443344950676,-2.2419135458767396,-29.37783780694008,6.3929,6.3875,6.397,6.381
2021-06-11,59.55971994996071,-18.617016419768333,-32.81771218776703,6.3967,6.3869,6.4005,6.3839
2021-06-14,21.311252504587173,19.775829270482063,-29.289761245250702,6.3987,6.3987,6.3987,6.3987
2021-06-15,9.894924908876419,39.65696087107062,-33.1255559027195,6.4052,6.4056,6.4089,6.3979
2021-06-16,29.442863881587982,15.479115927591922,-33.119821816682816,6.3969,6.4026,6.4068,6.3945
2021-06-17,46.628247022628784,-3.827944146469236,-30.983149349689484,6.4477,6.3972,6.4512,6.3972
2021-06-18,4.282387956976891,37.14917942881584,-25.496587485074997,6.4525,6.4476,6.4549,6.434
2021-06-21,23.64453110843897,16.137337647378445,-26.90874782204628,6.4659,6.4507,6.4732,6.4474
2021-06-22,47.70211225748062,-4.998592806980013,-32.363474160432816,6.4811,6.4647,6.4831,6.458
2021-06-23,28.540402963757515,21.026189744472504,-33.86289283633232,6.4727,6.474,6.4903,6.4712
2021-06-24,37.515661507844925,14.664775552228093,-35.778420209884644,6.4701,6.478,6.4837,6.4645
2021-06-25,51.20769043266773,-10.018799304962158,-31.820256680250168,6.4545,6.4653,6.4681,6.4496
2021-06-28,40.779343493282795,5.7349825240671635,-32.25020110607147,6.4555,6.4603,6.4659,6.4528
2021-06-29,18.04063805937767,23.778467308729887,-28.272933453321457,6.4635,6.459,6.4687,6.4538
2021-06-30,46.39012132585049,10.913535818457603,-41.64089119434357,6.4566,6.4634,6.4646,6.4525
2021-07-01,35.17762126028538,11.935837775468826,-36.037384897470474,6.4679,6.4622,6.4708,6.4581
2021-07-02,43.758936777710915,-3.452036291360855,-31.477735072374344,6.4721,6.4693,6.4855,6.4688
2021-07-05,36.30969448387623,11.581404093652964,-33.32365462183952,6.463,6.4696,6.4705,6.4572
2021-07-06,29.76266121864319,9.280271016061306,-26.791182160377502,6.4752,6.461,6.4811,6.458
2021-07-07,41.33616201579571,3.4712621718645087,-32.28975561261177,6.4718,6.4766,6.4774,6.4608
2021-07-08,20.53816619515419,23.991169925779104,-31.810483291745186,6.4898,6.4771,6.4928,6.4721
2021-07-09,46.27067832648754,-8.992754612118008,-27.93690437078476,6.4788,6.4851,6.4922,6.477
2021-07-12,32.94451059401035,-4.375709881540388,-23.139905750751495,6.4751,6.4763,6.4798,6.4697
2021-07-13,39.12862065434456,-4.183051846921444,-25.351218223571777,6.4685,6.4699,6.4756,6.4619
2021-07-14,37.150187358260155,9.41277565434575,-35.65955573320389,6.4688,6.4741,6.4783,6.4498
2021-07-15,37.87111383676529,-0.6634064018726344,-27.749980479478836,6.4569,6.4609,6.4708,6.4555
2021-07-16,23.039626613259315,13.494095934554935,-26.28553143143654,6.4785,6.4648,6.4798,6.4619
2021-07-19,11.495422452688217,30.80966215580702,-28.744456827640533,6.4893,6.4784,6.4924,6.4763
2021-07-20,18.913653999567032,25.60393800213933,-32.52733826637268,6.4845,6.4869,6.491,6.4766
2021-07-21,36.87792184948921,-1.1111153215169898,-28.228051036596298,6.4664,6.4787,6.4818,6.4653
2021-07-22,33.99278263002634,5.635893701110036,-28.531378656625748,6.4699,6.4675,6.4717,6.4616
