date,positive,nagetive,neutral
2019-03-07,-0.08302358537912369,54.74196782428771,-37.23286885023117
2019-03-08,15.219095438718796,28.986425019800663,-27.27366141974926
2019-03-09,6.197727933526039,1.0579136386513708,-5.862601965665817
2019-03-10,6.9407312870025635,-4.269185662269592,-2.3888503313064575
2019-03-11,16.48737797141075,33.75465187430382,-33.355571031570435
2019-03-12,35.44595818221569,13.806832857429981,-37.35103797912598
2019-03-13,1.4964904189109791,46.26594477146864,-31.209826171398163
2019-03-14,2.3331039398908615,55.02013115445152,-38.97477829456329
2019-03-15,13.826086685061455,33.76464332640171,-32.44152989983559
2019-03-16,12.118034049868584,1.69332979619503,-10.944416582584381
2019-03-18,30.285269550979137,17.915550927165896,-35.87596720457077
2019-03-19,17.468251317739487,35.40566740185022,-35.705935180187225
