date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2021-08-19,27.845053866505623,12.80086487531662,-28.629809319972992,7.5813,7.5942,7.5986,7.5744
2021-08-20,32.12277489900589,8.342909187078476,-28.226941376924515,7.6038,7.5827,7.6104,7.5806
2021-08-23,20.07103729993105,15.122753396630287,-24.68480834364891,7.6101,7.6028,7.6171,7.5956
2021-08-24,36.055177971720695,-5.412012616172433,-24.96029219031334,7.6054,7.6132,7.6156,7.5951
2021-08-25,28.553924091160297,-0.8127714693546304,-21.882346719503403,7.6218,7.6065,7.6259,7.5953
2021-08-26,29.400399520993233,7.20252214372158,-25.455349415540695,7.6151,7.6233,7.6374,7.6137
2021-08-27,54.20213121920824,-18.265880916267633,-28.479871973395348,7.6314,7.617,7.6435,7.6041
2021-08-30,52.81564136594534,-19.497768133878708,-26.743046671152115,7.6264,7.6322,7.6422,7.6196
2021-08-31,57.27178971469402,-18.762385442852974,-31.24512180685997,7.6278,7.6287,7.6579,7.6186
2021-09-01,33.28708663582802,11.265435323119165,-32.516630709171295,7.6457,7.6301,7.6603,7.6185
2021-09-02,57.28472778201103,-8.599043555557728,-34.68233144283295,7.665,7.6492,7.6684,7.6432
2021-09-03,48.23461040854454,1.852464959025383,-37.0388058423996,7.6672,7.6668,7.6792,7.6392
2021-09-06,43.57385677099228,-7.409198177978395,-26.821895956993103,7.6598,7.6654,7.6715,7.6528
2021-09-07,41.631922245025635,7.951940298080443,-37.206514686346054,7.6547,7.6659,7.6806,7.6536
2021-09-08,34.19094890356064,15.743657456710935,-33.81109896302223,7.6326,7.6571,7.6623,7.624
2021-09-09,38.61951354146004,8.255976881831884,-33.2278835773468,7.6288,7.6359,7.6467,7.6182
2021-09-10,25.273820355534554,15.144662007689476,-29.359992563724518,7.6129,7.6342,7.6375,7.6087
2021-09-13,12.067606531083584,24.336177572607994,-23.512816905975342,7.6175,7.613,7.6254,7.5984
2021-09-14,56.73426674306393,-9.980331771075726,-35.528520196676254,7.5984,7.6209,7.6321,7.5981
2021-09-15,37.581599712371826,2.379365699365735,-28.942167788743973,7.5994,7.6023,7.6144,7.5919
2021-09-16,20.908854603767395,26.21467623487115,-31.090431958436966,7.5955,7.6006,7.6065,7.5796
2021-09-17,41.37306064367294,-2.132378041744232,-29.149016171693802,7.5808,7.5957,7.6128,7.5807
2021-09-20,7.598221272230148,28.035749968141317,-24.84330850839615,7.5808,7.5862,7.5894,7.5651
2021-09-21,0.5012529417872421,31.41407184302807,-20.1662480533123,7.5795,7.5823,7.5981,7.5749
2021-09-22,42.206907749176025,-0.880166403949262,-32.22544425725937,7.5472,7.5823,7.5974,7.5503
2021-09-23,19.5218475908041,15.07300716638565,-25.338926643133163,7.5803,7.5518,7.5898,7.5499
2021-09-24,26.847487464547157,6.847493249922991,-25.255493342876434,7.5743,7.5816,7.5921,7.5648
2021-09-27,39.11955724656582,-5.3114388808608055,-23.806430503726006,7.549,7.5816,7.5841,7.5487
2021-09-28,36.451214998960495,6.871813410893082,-32.197986125946045,7.5453,7.5521,7.5624,7.5352
2021-09-29,23.991371169686317,21.550239133182913,-33.30496355891228,7.5022,7.5469,7.5654,7.4994
2021-09-30,28.84574820101261,19.95433932542801,-33.49645206332207,7.4642,7.5038,7.5142,7.4536
2021-10-01,10.159072771668434,18.48628717660904,-19.09868350625038,7.4726,7.4665,7.4833,7.4539
2021-10-04,6.139701038599014,14.127755165100098,-13.767138123512268,7.4893,7.4732,7.5045,7.4697
2021-10-05,21.940483182668686,3.838800949975848,-18.883283227682114,7.4739,7.4929,7.4932,7.4652
2021-10-06,18.854958847165108,12.672212578356266,-25.66106277704239,7.4481,7.4801,7.4813,7.4321
2021-10-07,9.927846446633339,18.982777774333954,-20.863315254449844,7.4442,7.4497,7.4604,7.4443
2021-10-08,28.19686222076416,7.4208178371191025,-26.316592156887054,7.4532,7.4465,7.4689,7.4415
2021-10-11,27.56710310280323,12.641544986516239,-27.567261084914207,7.4505,7.4606,7.4718,7.4438
2021-10-12,27.092193827033043,19.43748144991696,-33.00758162140846,7.4332,7.4538,7.4672,7.4317
2021-10-13,44.580998092889786,2.001421008259057,-37.581759452819824,7.4493,7.4344,7.4559,7.432
2021-10-14,22.7256201505661,19.180967502761632,-28.856908172369003,7.4642,7.4521,7.4829,7.4505
2021-10-15,31.2031409740448,2.9699330627918243,-25.07847425341606,7.4622,7.4696,7.4755,7.4564
2021-10-18,32.6864805072546,5.2879254519939405,-27.801817893981934,7.4634,7.4634,7.4738,7.4426
2021-10-19,19.767495453357697,14.312724822666496,-23.52616575360298,7.4238,7.4657,7.4783,7.4209
2021-10-20,10.705599181354048,32.839967641979456,-30.74994507431984,7.4479,7.4253,7.4556,7.4211
2021-10-21,19.91587160527706,19.11621330305934,-25.740805834531784,7.4287,7.4496,7.458,7.4286
2021-10-22,11.392492920160294,27.429267102852464,-26.373960316181183,7.4353,7.4309,7.4453,7.42
2021-10-25,31.52871986478567,2.499793861061337,-26.946622133255005,7.4111,7.4343,7.4495,7.4057
2021-10-26,41.17539019137621,-1.001023586839438,-31.920166224241257,7.3987,7.412,7.4194,7.3944
2021-10-27,34.23152957856655,10.989525634795427,-33.45718044042587,7.4167,7.4021,7.4326,7.3976
2021-10-28,40.92785508930683,-1.7024751398712388,-27.993709474802017,7.4649,7.4191,7.474,7.4076
2021-10-29,31.431184381246567,0.17582668550312563,-23.403420835733414,7.4048,7.4654,7.4724,7.3887
2021-11-01,21.728066086769104,14.280427688732743,-25.848000675439835,7.4233,7.4044,7.4278,7.3923
2021-11-02,43.3949833214283,-11.368330802768469,-27.219485819339752,7.4087,7.4264,7.4321,7.4075
2021-11-03,29.804355174303055,10.712561950087549,-29.943146735429764,7.4375,7.4106,7.4426,7.4001
2021-11-04,4.5056464076042175,26.983927309513092,-21.57540401816368,7.3905,7.4391,7.4429,7.3721
2021-11-05,51.14950303733349,-19.197990134358406,-24.782823503017426,7.3999,7.3917,7.4064,7.3705
2021-11-08,25.00471444427967,-9.374857898335904,-13.30390664935112,7.4043,7.3939,7.4138,7.3882
2021-11-09,37.434023439884186,-3.073078328743578,-25.45052245259285,7.4085,7.4085,7.4224,7.3938
2021-11-10,27.298052325844765,10.050134527496994,-27.737913876771927,7.3324,7.4109,7.4136,7.3315
2021-11-11,45.51042750477791,2.7083207368850726,-35.841246634721756,7.3163,7.3357,7.3579,7.3124
2021-11-12,52.667590126395226,-20.628789618611336,-27.2767014503479,7.3036,7.3197,7.3257,7.2947
2021-11-15,21.61301475763321,18.167124535888433,-28.973874807357788,7.2549,7.306,7.3173,7.2484
2021-11-16,21.283308148384094,22.191022336483,-29.60337659716606,7.235,7.2564,7.2691,7.2297
